単語,意味
choice,選択
circulation,循環
circumvent,～を回避する
citizen,市民
civilization,文明
claim,～を主張する
climate,気候
close to ~,～の近くに、～に近い
colony,（生物の）群体、植民地
coloring book,塗り絵の本
combination,組み合わせ
come up with ~,～を思いつく
comfortably,快適に
comfortable,心地よく感じる
command,命じる
common,一般的な、よくある
community,地域社会、社会、共同体
compare A with B,AとBを比べる
compare with ~,～に匹敵する
compared to ~,～と比べると
comparison,比較
competitive,競争力のある
complain,不満を言う
complex,複雑な
concept,概念
concerned,心配している、憂慮している
conclude,結論づける
conduct,行う、～（会議、実験など）を行う
confirm,～を確認する
consciousness,意識
consequently,その結果として
conservation,保護
consist of ~,～から成る
consistent,一貫性のある
construct,～を構成する、作り上げる
consumer,消費者
consumption,消費
contain,～を含む
content,容量、含有量
continuous,連続した
control,制御する、～を制御する
conversation,会話
coordinate with ~,～と連携する、協調する
coronavirus,コロナウイルス
cost,代償、犠牲
countless,数え切れない、無数の
course,経過
court,裁判、法廷
crash,衝突する、衝突、墜落、大音響
create,～を創作する、生み出す、～を作り出す
