単語,意味
on top of ~,～に加えて
oncoming,〔形〕近づいてくる
online,オンライン上で
opportunity,機会
option,選択肢
ordinary,普通の、通常の、一般的な
organism,有機体
organization,組織
organize,～を企画する、催す
other than ~,～以外の
otherwise,もしそうでなければ
over time,時とともに、時間をかけて
overheat,～を過熱する
overhunting,乱獲
overwhelm,圧倒する
own,所有する
paradox,逆説、矛盾
paralyzed,麻痺（まひ）した
parasite,寄生虫、寄生動物
particular,特定の
pass,（法案など）～を通す
pass ~ out,～を配る、渡す
pay attention to ~,～に注目する
peak,頂点、（変化量の）最大値
per ~,～当たり、～につき
period,期間、時間帯
persist,残る、存続する
philosopher,哲学者
physically,肉体的に
physics,物理学
place,置く
plain-looking,見た目が地味な［美しくない］
play a role in ~,～において役割を果たす、～の一因となる、～の中である役割を果たす
pollution,汚染
positive,前向きな
potential,潜在的な、可能性のある
pound,ポンド［重さの単位］
pour,注ぐ
pour out,噴き出す
praise,褒める
pray,祈る
prayer,祈り
predict,～を予測する、予測する
predator,捕食動物
prefer,より好む、好む
prepared,調理された
present,現在の、～を紹介する、示す
previous,前の
primitive,原始的な
probability,可能性
