単語,意味
follow,～に従う
force,力
force O to do,Oに～することを強いる、無理やり～させる
forever,永遠に
fossil,化石
founder,創始者、創設者
further,さらなる
furthermore,さらに
gallon,ガロン［液体の量の単位］
gather,集まる
gather attention from ~,～から注目を集める
general,一般的な、全体的な
general public,一般大衆
genetically,遺伝子的に、遺伝学的に
geographically,地理的に
get along,うまくやっていく
get rid of ~,～を取り除く
go further and ~,さらに（進んで）～する
go through,～を経験する
good-looking,見た目のよい、美しい
govern,支配する
gradually,徐々に、次第に
greenhouse gas,温室（効果）ガス
guarantee,保証、～を保証する
guide,目安
guideline,指針
guilt-ridden,罪の意識に苦しむ
heartbroken,悲しみに打ちひしがれた
high-status,高い地位の
history,歴史
horse-like,馬に似た
huge,巨大な
human right,人権
humanity,人類
hunger,飢え、飢餓
hurry,急いで行く
ignore,無視する
ill effect,悪影響
imaginary,架空の
immortal,不死身の、不滅の
impact,影響、効果、影響（力）
imply,暗示する
impressive,印象的な
improve,～を向上させる、改善する、向上させる
in a way,ある意味で
in existence,存在している
in favor of ~,～に賛成している
in short,要するに
in silence,黙って
in terms of ~,～の観点から、～という点で
