単語,意味
produce,～を生み出す、～を生産する
production,生産
productive,生産性が高い、生産力がある
profit,利益
progress,進歩する
promising,前途有望な
pronounce,～を発音する
pronunciation,発音
propose,提案する
protect,～を保護する
prove,立証する
provide,～を与える
provide for ~,～を養う
provide ~ with ...,～に…を提供する
psychological,心理的な、精神的な
psychologist,心理学者
public,［the ～で］一般大衆
public health,公衆衛生
publish,～を公表する
purchase,～を購入する
put ~ into action,～を実行する
put ~ on hold,～を保留する［中断する］
puzzle over ~,～について頭を悩ます
quarter,4分の1
quit,やめる
raise,～を上げる、育てる
random,行き当たりばったりの、偶然の
rapid,急速な
rarely,めったに～ない
rather than ~,～よりもむしろ
reach out,連絡する、接触する
reduction,減少
refer to ~,～に言及する
refer to ~ as ...,～を…と呼ぶ
reference,言及（した事柄）、引用（箇所）
reflection,反射、映像
reform,改革、改良
regard ~ as ...,～を…と見なす
regular,定期的な
relative,相対的な
remain,残っている
remove,取り外す、取り除く
replace,～に取って代わる
require,～を必要とする
required,必須の
resemble,似ている
resident,入居者、居住者
resolve,解決する
resource,資源
respect,尊敬、敬意
